City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,kratie,12.4881,106.0188,27.68,73,{'all': 99},1.39,KH,1691506800
124,minas de marcona,-15.2119,-75.1103,16.66,63,{'all': 13},4.62,PE,1691506800
125,hawaiian paradise park,19.5933,-154.9731,23.43,86,{'all': 100},4.17,US,1691506800
126,sidon,33.5631,35.3689,27.95,67,{'all': 7},2.86,LB,1691506800
127,kargat,55.1956,80.2811,19.99,54,{'all': 79},2.24,RU,1691506800
128,salekhard,66.53,66.6019,17.23,63,{'all': 100},2.89,RU,1691506800
129,badger,64.8,-147.5333,13.22,93,{'all': 75},1.63,US,1691506800
130,nuuk,64.1835,-51.7216,8.34,81,{'all': 0},2.8,GL,1691506800
131,gidole,5.65,37.3667,19.61,48,{'all': 93},1.42,ET,1691506800
132,juankoski,63.0667,28.35,22.7,87,{'all': 100},3.45,FI,1691506800
133,karukh,34.4811,62.5863,26.87,21,{'all': 0},11.94,AF,1691506800
134,wotje,9.4543,170.2367,28.01,76,{'all': 68},6.66,MH,1691506800
135,uray,60.1247,64.7758,22.22,56,{'all': 82},3.18,RU,1691506800
136,ponta delgada,37.7333,-25.6667,24.9,73,{'all': 20},1.89,PT,1691506800
137,xique xique,-10.8217,-42.7311,30.18,43,{'all': 1},2.03,BR,1691506800
138,alice springs,-23.7,133.8833,14.6,62,{'all': 2},2.76,AU,1691506800
139,kodiak,57.79,-152.4072,11.73,94,{'all': 100},1.63,US,1691506800
140,diamantino,-14.4086,-56.4461,37.01,21,{'all': 0},2.3,BR,1691506800
141,sasovo,54.3537,41.9199,26.73,58,{'all': 25},4.06,RU,1691506800
142,paphos,34.7667,32.4167,30.88,55,{'all': 20},5.4,CY,1691506800
143,howrah,22.5892,88.3103,29.0,84,{'all': 75},2.6,IN,1691506800
144,mercedes,-34.6515,-59.4307,11.26,53,{'all': 96},5.37,AR,1691506800
145,kabare,-2.4683,28.8242,20.94,61,{'all': 96},2.09,CD,1691506800
146,axim,4.8699,-2.2405,25.84,79,{'all': 66},6.14,GH,1691506800
147,matoury,4.8483,-52.3317,31.55,62,{'all': 100},3.6,GF,1691506800
148,san sebastian de la gomera,28.0916,-17.1133,28.2,54,{'all': 20},2.74,ES,1691506800
149,nueva esperanza,15.2667,-87.6,26.71,88,{'all': 100},0.4,HN,1691506800
150,ilulissat,69.2167,-51.1,9.01,53,{'all': 40},1.14,GL,1691506800
151,corsicana,32.0954,-96.4689,33.16,76,{'all': 0},6.6,US,1691506800
152,keflavik,64.0049,-22.5624,12.24,82,{'all': 75},4.44,IS,1691506800
153,saint-georges,12.0564,-61.7485,30.82,74,{'all': 20},4.17,GD,1691506800
154,gopalpur,19.2667,84.9167,30.44,65,{'all': 100},2.62,IN,1691506800
